topic,business_id,business_name,cluster_sentiment,generated_kp,aspects_terms,coverage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
Hotels,1064610,Hilton Garden Inn Montreal Centre-ville,negative,Not meeting Hilton standards.,"['hotel restaurant', 'hotel taxis', 'hotel', 'restaurant']",9,Secondly I expected overpriced food at the hotel restaurant but I ran down to grab two bagels for my traveling companion and I before we left on a tour and $12 later I had two of the worst bagels ever eaten.,"The parking is expensive - $22 CAN per night, and the hotel taxes plus the basic rate made the hotel rather expensive - even for Montreal.","In all, we won't be returning to this hotel.",This hotel had several bachelorparties which caused a lot of noise as well.,"Hotel was fully booked, so relocation was impossible.","This hotel is part of the Hilton group, but doesn't meet Hilton standards.","Parking around the hotel is $10-$12 per day, but hotel charges $21 per day.","This hotel was beautiful, new and well kept, but the ""service"" provided by the staff and the management of this hotel fell well below Hilton standards.",One minor drawback is that there aren't a lot of restaurants in the immediate area (although there is a very nice local coffee shop nearby for breakfast and lunch).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,1064610,Hilton Garden Inn Montreal Centre-ville,negative,Expensive and inconvenient parking.,"['parking', 'parking garage', 'garage']",8,I felt blindsided by the fact that I got a bill the next morning for $23 for parking in the garage.,"The parking is expensive - $22 CAN per night, and the hotel taxes plus the basic rate made the hotel rather expensive - even for Montreal.",My only complaint was the high cost of parking and the parking garage which I found to be very cramped.,"My only negatives are expensive parking, the shower leaked (I felt bad for the housekeeper as the floor mat was soaked), and I received no newspaper even though I was charged for them.","Parking around the hotel is $10-$12 per day, but hotel charges $21 per day.",Parking at the hotel was pricey.,Getting to the lobby from the parking garage is more than a little tricky.,The garage has concrete posts everywhere and one must be very careful otherwise your car will be damaged.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,1064610,Hilton Garden Inn Montreal Centre-ville,negative,Non-functional showers.,"['toiletry', 'shower', 'kitchen', 'bathroom', 'bathtub']",8,"The front desk was as helpful as they could be in a lost luggage situation, but they would not give us some basic toiletries (we would have to pay) which every other Hilton I have stayed at would be happy to do.","The bad: many have mentioned the shower OR bath issue, so there's no need to repeat here.",If you knew your shower didn't work would you still let people use it?,"With no warning, the shower flooded our whole room into the lobby ceiling and all into our room.","My only negatives are expensive parking, the shower leaked (I felt bad for the housekeeper as the floor mat was soaked), and I received no newspaper even though I was charged for them.","it looked like a child had been let loose in the kitchen, we then waited 45 minutes for desert, which was pulled from a big catering box right by us, so much for home cooking!","The bathroom was very small, no bath and the blankets were uncomfortable as well.",Beware: no bathtubs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,1064610,Hilton Garden Inn Montreal Centre-ville,negative,Poor room service and maintenance.,"['room service', 'front desk', 'front desk staff', 'room', 'room rate']",8,Considering suing the hotel Was very disappointed with room service too.,The front desk could have been more in tune with the happenings in town as they didn't mention that the Biodome was closed due to a strike until we got there.,"Basically, everything we spoke to the front desk and duty manager about went unresolved.","I found the front desk staff not to be the friendliest, however, the concierge was unbeleivably friendly and helpful(these guys kno their city!)","With no warning, the shower flooded our whole room into the lobby ceiling and all into our room.","Next time, just don't offer the room.",We reported minor maintenance issues in our rooms and they were not resolved until having to report them multiple times hours later.,Room rate is deceptive.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,1064610,Hilton Garden Inn Montreal Centre-ville,negative,Slow internet service.,"['internet service', 'location', 'construction', 'service']",7,The internet service was free with the room but was slow.,"The internet service was as slow as molasses in January (circa 1992), both in the business center and, even more pronounced, in the room.",Couple of downsides - the speed of the internet service was extremely slow...,"Except for the location and the helpful staff, nothing much of worth here","Yes, the weather has been pretty bad, but the construction next door has meant a good bit of dust, so it would be a good idea to wash the outside of the windows more frequently.",What happened to service ?,"This hotel was beautiful, new and well kept, but the ""service"" provided by the staff and the management of this hotel fell well below Hilton standards.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,1064610,Hilton Garden Inn Montreal Centre-ville,negative,Dirty windows and damaged plastic floor.,"['floor', 'window', 'plastic floor']",4,Our floor was wet every morning after we showered because the door did not close well and wasn't flush on the bottom so water could flow out.,My one complaint is that the windows need to be washed.,"My other complaint is that one cannot open the windows, which is usually a no-go for me.",And the plastic floor covering of the stall already had bubbled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,1064610,Hilton Garden Inn Montreal Centre-ville,negative,Disappointing breakfast options.,"['breakfast buffet', 'meal', 'breakfast']",4,"To our surprise (but a pleasant one) they do not have the typical breakfast buffet - they only have a few items and the rest (eggs, omelettes, etc.)","There were plenty of waiting staff and they were all very nice, but hadnt a clue what to do, they all stood around, fell over each other and the whole meal took almost 3 hours, we waited and waited and eventually got our 'fillet mignon' which was tiny and very over decorated, infact the meal looked a mess (what we english class as looking like a dogs dinner, i'm sure you understand that meaning!!??)",Only complaint being that I had to pay 17$ for breakfast after paying 140$ for room.,"The weak point was the breakfast, not really what we were expecting for that type of hotel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,1064610,Hilton Garden Inn Montreal Centre-ville,negative,Overpriced for the value.,['price'],4,Exorbitant prices and very meager servings.,Overpriced for what you get.,For the price we were charged we expected much better.,This hotel is defenitely overpriced at +200 euros a night!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,1064610,Hilton Garden Inn Montreal Centre-ville,negative,Uncomfortable beds.,['bed'],3,Everything was perfect except for the beds.,DON'T sit on the bed too hard because you could break a bone.,My only actual complaint is that the bed had to be the most uncomfortable I've ever slept in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels,1064610,Hilton Garden Inn Montreal Centre-ville,negative,Be cautious with the bill.,['bill'],2,And that we got a $30 bill for breakfast when whe thought it was complimentary.,Be very careful with your bill when you check out of this hotel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
