topic,business_id,business_name,cluster_sentiment,generated_kp,aspects_terms,coverage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131
Arts & Entertainment,DKFU7w82t-X2WyF0t-qcMA,Engine 8 Urban Winery,negative,Disappointing wine selection.,"['wine tender', 'wine', 'drink']",14," It was pretty confusing if you bought a ticket online, we were in line at the bar, and there didn't seem to be a flow or line, or instructions, just very overwhelmed wine tenders.",Good service and nice atmosphere but wines leave much to be desired.,"
It would have probably gotten a 5 star from me, but I did feel the wines were a bit on the pricey side.","The wine lax, they are always out of something!","Not many tasty wines, if you don't have bring in an outside label!",He would not even let us try a wine before we decided to purchase the entire bottle.,Pretty hilariously bad wines.,We finally got a small glass of the least offensive one to share and chocked it down and ducked out to find a good glass of wine somewhere else.,"

I really wanted to like this place, but not until their wine improves... I was baffled at how many people seemed to be enjoying it."," Okay, nice atmosphere to sit and relax and the bathroom sinks are pretty fab but whoa, their wines... talk about Welch's grape juice and Arbor Mist.","

They mentioned a couple times how their wines are young but I think that's just an excuse for the obviously unhappy customers.",A lot of their wines are a little too sweet for me.,Unfortunately wines are not well made.,It was barely drinkable for us.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,DKFU7w82t-X2WyF0t-qcMA,Engine 8 Urban Winery,negative,Disappointing experience at this place.,['place'],2,I expected to be disappointed (again) in this place.," But wait, is this place a joke?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,DKFU7w82t-X2WyF0t-qcMA,Engine 8 Urban Winery,negative,Unhappy and unmasked server.,['server'],2,"In fact, what surprised me the most is that none of the servers had a mask on.",The server we had at our table seemed like he hated his job and was not happy with us.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,DKFU7w82t-X2WyF0t-qcMA,Engine 8 Urban Winery,positive,Delicious and diverse wine selection.,"['wine', 'winery', 'wine bar', 'wine club membership', 'white wine', 'fruit wine', 'wine place', 'wine taste', 'wine club', 'beer', 'drink', 'blackberry wine', 'wine selection']",111," Friendly staff, reasonably priced wine by the glass or flights."," Loved the labels (local art) I think once they get some décor, and more wine it won't seem as cavernous."," Peach Chardonnay was literally summer in a glass, wine cooler sweet.","I especially​ love sweeter wines, while my husband enjoys basically anything that's a white.",Their wines are reall specially their fruity summer wines., The Summer Peach wine was absolutely delicious!,"If you haven't tried it yet, pop on in for a glass of wine before seeing a movie at the theater next door.",Great wines that are local.,Super tasting wines and I almost signed up for their wine club.,The wine here is really good and the wine club membership is very reasonable for what you get.,Just tried 6 of the 12 wines and they were all delicious.,The variety in the wines is outstanding.,Every wine I have tried is divine.,"Sitting by the outdoor fire with a glass of delicious wine, you just can't have better than that.",Great wine too.,I love the strawberry wine.,  Great wine and even better hosts in a great Sparks location., What a great way to meet up with a friend after work or a casual glass of wine following a movie.,"Their wine is made right here in Sparks and the grapes are from Lodi/Woodbridge CA, which I just love!",They are helpful and friendly and will guide you to find the best wine for you.,The wine is made right on site and I would strongly recommend the peach white Zinfandel.,The wines are fantastic!,"Fantastic wine made right here in Sparks, NV!",I've tried their cheese platter and it pairs amazingly with any of their red wines.,"

The staff is friendly and knowledgeable and the wines are really great.","To be honest, I'm more into dry wines, so when I saw the fruit wines on the list, I was a little skeptical, but everything I've tried, I've really enjoyed.","
We enjoyed a flight of 3 wines each.",They have many different wines to choose from.,Great full flavored wines.,"Variety of wines that are all created, bottled, labeled and corked on site.",The wine is very drinkable., Matching the quality of the food and wine selections.,"Mike, the owner and maker of the wines, heard we were attending the same concert as he was tonight, so he came out a couple of times to chat.",Great place to have some wine.,"However, the pizzas, wine and service are all great.",I'm not really a wine person but they have a couple wines that I love!,I also give this wine to my clients and they always ask me where it came from and why is it so good.,They have a good variety of wine and food and desserts to pair., Try their own wines and get a pizza or charcuterie dish to snack on.,First time going to this local winery in Sparks very good service the margarita pizza was excellent good choices of wine definitely a good place to go,Went for the open house wine tasting...12 wines...I enjoyed the Pinot noir and the merlot... Did not like the Merbec but perhaps it was in the wrong place in the lineup...fantastic charcuterie around $10., The wine is limited to their own wine making abilities but even these various varietal options are getting better.,"
I have no skin in the game here  just a love of wine and wine related social activity thus the reason for me taking the time to express my opinion here.",Engine 8 Winery is a great place to go the owners are friendly and fun in the wine is amazing,Mike and Wendi have done an excellent job in providing good wine and a relaxing atmosphere.,"They make the wine, and it was so good!!",I have to say Engine 8 Urban Winery is the perfect place enjoy a glass of wine with family and friends.,Nice place to meet friends and enjoy a glass of wine with a pizza.,"Good times, good music, great wine and pizza and even better hosts!!","I have had the pleasure of visiting here more times than I can remember and I get excellent service, excellent food and wine every time.","
We tried a flight of four wines; there was a band playing outside, so we sat on the patio and tasted our wine with a few almonds.","If it wasn't for there being a good atmosphere and good wines, I don't think we would be back here.","Amazing customer service, great wine and food.",The wines are very tasty and so is the food (especially the pizzas).,Don't have a big selection to choose from but majority of the wine that was sampled was good.,"Excellent, friendly service with delicious wine!!","Great environment, great staff, and great wine.",They have quite a variety of wines that are all made in house with juice brought in from Lodi.," The wine, the food, the venue, the staff is all top notch."," Located right in front of the Galaxy Theater on Victorian, Engine 8 is the perfect spot to enjoy a glass (or two) of good wine."," Wonderful, hearty and lighter reds, refreshing whites and some sweeter fruit wines.", I'm looking forward to spending some time on their outdoor patio this summer and sampling more wine.,Have a glass of wine or a flight.,"
They make all there own wine right on the property, and it's pretty impressive for sure.","
While we were there the owner told us of some new wines they were going to be making to increase the choices they already have.",  Wine (of course) and beer are available and they make their own very good pizzas.,"Best service, best wine, best pizza, live music, and lots of twinkly lights.",I've been more than satisfied with plenty of 8 dollar bottles of wine., I've tasted many young wines before and none ever smelled or tasted like these.,Great wine and pizza.,"Service, great wine and the pizza were all amazing.","

As for the wine we tried Pinot Noir and Barbera.",Juice is brought in from Lodi and wine made onsite.,"

Next time I will try a flight of other red wines they have available such as Malbec.","New favorite spot, the owners are absolutely amazing and the food and wine are the beat in town.","Whether it's for Wine Down Wednesdays, a simple visit, or to enjoy the beautiful weather and wine on the patio while listening to Jaime Rollins play.","I enjoyed the wines, along with the bar snacks.",I will for sure go back for the great wine and friendly owners.,Great place for some wine in Sparks.,I am a big fan of wineries and was excited to hear about Engine 8 near my house.,What a great local winery!!,"The best winery in Sparks, NV.", So glad to have a nice winery in Sparks!,I live at the bridges and I was invited to the Winery soft opening 4/21 and I LOVED it.,"We stopped in at this cool winery in Sparks, they have done a fabulous job on the inside, super cool looking.",Engine 8 is the best Winery in not only Sparks but all of Northern Nevada.,Engine 8 Urban Winery was a much needed addition to downtown Sparks.,I've been awaiting the opening of Engine 8 Urban Winery and was ecstatic to see it finally open.,Great time and seeing the process of making the wine in house was really unique for a wine bar but definitely will be a sparks hangout when summer finally gets here as they have a great outdoor patio to hangout with couches,"I'm not typically a white wine drinker, but the white wines here were pretty tasty.",They have some fun fruit wines too.,"Their fruit wines are all very good, refreshing and easy to drink!",Their fruit wines are so good and not too sweet!,The fruit wines are fun and not something you see everywhere.,The fruit wine was yummy a must try for sure.,I've been waiting for a great Wine place to open up in Sparks.,A lovely wine tasting venue with a nice interior and pleasant benches on the outisde.,Went for the open house wine tasting...12 wines...I enjoyed the Pinot noir and the merlot... Did not like the Merbec but perhaps it was in the wrong place in the lineup...fantastic charcuterie!,Highley recommend this place for a nice afternoon of wine tasting!,Loved the wine tasting and the unique play on caprese salad.,My 1st visit to this wine tasting venue for their own wine in Sparks.,"Amazing food, and love love love the wine club.","The wine labels are Nevada themed, they have a Wine Club, and Golden Rotisserie will even deliver your called in order to you while you're enjoying your wine.","Oh yeah, they have margaritas and beer too!",And yes.. there is beer!," 

A lot of people have raved to me about this place and maybe it's better when there's live music, but we couldn't wait to pay the absurd amount for the quantity and quickly walk over to Pinion for a tasty beer.",Awesome place for pizza and drinks!,"We had a flight of different wines and a delicious pizza, then enjoyed the food and drink so much ended up purchasing a bottle to take.",My friend really enjoyed the blackberry wine which I will be sure to try next time as it was stated as being the second crowd favorite (the first is their Cabernet).,"

Wine selection is deep and playful.","Excellent food, wine selections and service.",,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,DKFU7w82t-X2WyF0t-qcMA,Engine 8 Urban Winery,positive,Excellent customer service.,"['business', 'customer service', 'service', 'customer']",32, I'm glad to have this new business in Sparks.,They've poured their hearts into this business and it shows.,I'm so very happy that we have this new business in Sparks!,Will definitely be frequenting this business and will be renting their Party Room at some point as well.,Very unique and had the best customer service.,Amazing customer service and willing to talk and answer any questions about their food and wine.,"Amazing customer service, great wine and food.",Customer service was amazing.,Great service too!!!!,Good service and nice atmosphere but wines leave much to be desired.,Service is amazing,The service was great.,Service is amazing.,"However, the pizzas, wine and service are all great.",Great service and great owners.,First time going to this local winery in Sparks very good service the margarita pizza was excellent good choices of wine definitely a good place to go,Service was fast and friendly.,"I have had the pleasure of visiting here more times than I can remember and I get excellent service, excellent food and wine every time.","Excellent, friendly service with delicious wine!!","Thank you Wendy for excellent service and convincing us to try the best pizza ever, The Spicy Conductor!!","Best service, best wine, best pizza, live music, and lots of twinkly lights.","Service, great wine and the pizza were all amazing.",Excellent service with a very knowledgeable staff.,We came in on a Sunday to have some wine and chill and the service was absolutely impeccable.,And you really can't go wrong with the service here.,Excellent service.,"Excellent food, wine selections and service.","Mike, Wendy, and Nick are all truly amazing people who provide impeccable service with a genuine smile.",The atmosphere is simply wonderful and so is the service.,"Nate is very knowledgeable about their wines and provided us with top notch, friendly and attentive service.",Definitely a return customer!!!,"
Very friendly staff and very accommodating to there customers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,DKFU7w82t-X2WyF0t-qcMA,Engine 8 Urban Winery,positive,Delicious and diverse pizza options.,"['snack', 'pizza', 'mozzarella', 'margarita pizza', 'cauliflower crust pizza', 'gluten free pizza', 'vegan cauliflower crust pizza', 'caprese salad', 'artisan pizza']",27,"
Surprisingly good snacks, too--limited choices, but the Golden Rotisserie will deliver, and they are top notch (popular in nearby Truckee).","Now they are offering charcuterie and pizzas, which are both very well done.",They have a scrumptious charcuterie plate and have also just began doing pizza too!,Pizza or cheese platter.,"However, the pizzas, wine and service are all great.",And their pizza is to die for (I gained 20 lbs after discovering it).,"Relaxing, sociable, great conversations and vibes -- Can't wait to get back to music nights with neighbors and friends -- Love the pizza with a nice glass of red and being in the historic Sparks neighborhood.",Awesome place for pizza and drinks!,Stopped by here to pick up a pizza as our apartment complex gave us a voucher of $15 towards any purchase.,"Thought I'd give it a shot while not spending my own money (I'm not a wine drinker, so definitely wanted to use it towards food) and WOW, truly delicious pizza.",You can also sit outside on the patio and order a yummy charcuterie board and or a delicious pizza!,The wines are very tasty and so is the food (especially the pizzas).,"Thank you Wendy for excellent service and convincing us to try the best pizza ever, The Spicy Conductor!!",  Wine (of course) and beer are available and they make their own very good pizzas.,"Best service, best wine, best pizza, live music, and lots of twinkly lights.",Great wine and pizza.,"Service, great wine and the pizza were all amazing.","We had a flight of different wines and a delicious pizza, then enjoyed the food and drink so much ended up purchasing a bottle to take.","Not to mention the delicious pizza and Chocolate Lava S'mores Cake they serve, among other tantalizing menu items.","Tasty pizza
4.",The tomatoes and mozzarella were fresh and delightful.,First time going to this local winery in Sparks very good service the margarita pizza was excellent good choices of wine definitely a good place to go,"
We ordered a cauliflower crust pizza.",It's so hard to find good gluten free pizza.,The best vegan cauliflower crust pizza in town.,Loved the wine tasting and the unique play on caprese salad.,Next time I will try the artisan pizza.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,DKFU7w82t-X2WyF0t-qcMA,Engine 8 Urban Winery,positive,Spacious and comfortable outdoor seating.,"['outdoor patio', 'outdoor area', 'fireplace table', 'outdoor seating', 'tasting room', 'patio', 'space', 'outside seating', 'outdoor sit area']",24, Wonderful outdoor patio.,Great time and seeing the process of making the wine in house was really unique for a wine bar but definitely will be a sparks hangout when summer finally gets here as they have a great outdoor patio to hangout with couches, I'm looking forward to spending some time on their outdoor patio this summer and sampling more wine.,"It has a great outdoor area, but I'd like to see a water feature maybe, and more plants (I'm not sure how safe they would be from theft)  The fireplace table was gorgeous!!",Great location and I love the outdoor seating option.,In these Covid times it's hard to find places that have great band and outdoor seating.,Lots of outdoor seating.,Love their outdoor seating during the warmer months as well.,"

Plenty of outdoor seating w fire pillars (or whatever they are called).",Great outdoor seating.,"This is not your typical outdoor winery with vineyards, but more of the tasting room experience you would get at the end of a traditional winery tour.","Comfortable, well appointed tasting room with food service and entertainment.","Nice patio, and the wine flights are always changing so we learn about local wines.","The owners were so accommodating and Wendy helped us create a perfect space for a birthday party - complete with private patio space, fun games, and patio heaters.", The patio and fire pit look fantastic.,My friend and I truly enjoyed our time sipping and chatting on their large and comfortable shaded patio!,The patio is truly relaxing with umbrellas and lots of shade to relax and rest in the heat., Small and intimate inside and beautiful patio that extends a good distance for dancing to live music usually on weekends.,You can also sit outside on the patio and order a yummy charcuterie board and or a delicious pizza!," 
They have a nice patio for summer nights.",The comfy patio doesn't hurt either!,The outside seating is great and is conveniently located right next to the theater.,"
Outside seating for nicer days and evenings.",Had a very nice outdoor sitting area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,DKFU7w82t-X2WyF0t-qcMA,Engine 8 Urban Winery,positive,Amazing and inviting atmosphere.,"['ambience', 'atmosphere', 'experience']",18,"
Ambience is great, even with the current transitions all around that neighborhood.",The ambience was so relaxed yet classy.,Walking past the place during rib cook off and the ambience pulled me in!,Good service and nice atmosphere but wines leave much to be desired.,Friendly atmosphere.,With the best atmosphere and wonderful people!,This is a great place to relax with your friends and loved ones with the inviting atmosphere and quiet surroundings.,The atmosphere is amazing!,"I absolutely love the atmosphere, the music is amazing and I enjoy the ukuleles and the guitarist.",Great atmosphere and a great staff.,Absolutely a terrific atmosphere inside and as nice of an outside patio set up as  any wine related place in the area.,Mike and Wendi have done an excellent job in providing good wine and a relaxing atmosphere.,"If it wasn't for there being a good atmosphere and good wines, I don't think we would be back here."," Okay, nice atmosphere to sit and relax and the bathroom sinks are pretty fab but whoa, their wines... talk about Welch's grape juice and Arbor Mist.","
Always clean and atmosphere is inviting and comfortable.",The atmosphere is simply wonderful and so is the service.,Absolutely wonderful experience.,"
Overall a pleasant experience on a beautiful September evening.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,DKFU7w82t-X2WyF0t-qcMA,Engine 8 Urban Winery,positive,Delicious food options.,"['food', 'food service']",17,"They provided food from Famous Dave's and Savory Catering, both the apple fig Brie and the pork sliders were a perfect pairing with their wine and it was beyond delicious.","Amazing food, and love love love the wine club.", Matching the quality of the food and wine selections.,Good food.,They have a good variety of wine and food and desserts to pair.,Amazing customer service and willing to talk and answer any questions about their food and wine.,The food options are exceptional especially the pizza  choices which are as good as any local pizza parlor!,Highly recommend for their food.,"I have had the pleasure of visiting here more times than I can remember and I get excellent service, excellent food and wine every time.","Amazing customer service, great wine and food.",The wines are very tasty and so is the food (especially the pizzas).," The wine, the food, the venue, the staff is all top notch.","Don't let winery in the title fool you, the food here is great.","We had a flight of different wines and a delicious pizza, then enjoyed the food and drink so much ended up purchasing a bottle to take.","New favorite spot, the owners are absolutely amazing and the food and wine are the beat in town.","Excellent food, wine selections and service.","Comfortable, well appointed tasting room with food service and entertainment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Entertainment,DKFU7w82t-X2WyF0t-qcMA,Engine 8 Urban Winery,positive,Fantastic and loved place.,"['place', 'place to meet friend', 'local spot', 'little place']",16,We are putting this place on our places to go and certainly will bring our friends.,LOVED this place!,Loved it everything about this new place.,I would say it is a wonderful place all around!,I love this new and great place!,Can't wait until Covid is over as this is a fantastic place.,I looooooove this place!,"
It's my go to place at least once a week now when I'm not traveling.",Cool place to enjoy a glass (or two or three) with friends.,We love this place and we tell everybody to go hand meet them.,I love this place!,Great place.,What a great place.,Nice place to meet friends and enjoy a glass of wine with a pizza., Great local spot!,Great little placeI found on Yelp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
